Stock_name,Mark
c,0
caap,0
caas,0
caba,0
cabo,0
cac,0
cacc,0
caci,0
cade,0
cae,0
caf,0
cag,0
cah,0
cake,0
cal,0
cala,0
calb,0
calf,0
calm,0
calt,0
calx,0
camp,0
camt,0
can,0
cane,0
canf,0
cang,0
cape,0
capl,0
capr,0
car,0
cara,0
carg,0
carr,0
cars,0
carv,0
carz,0
casa,0
cash,0
casi,0
cass,0
casy,0
cat,0
catc,0
cato,0
caty,0
cbat,0
cbay,0
cbd,0
cbfv,0
cbh,0
cbl,0
cbnk,0
cboe,0
cbon,0
cbrl,0
cbsh,0
cbt,0
cbu,0
cbz,0
cc,0
ccap,0
ccb,0
ccbg,0
ccd,0
ccep,0
ccf,0
cci,0
ccj,0
cck,0
cclp,0
ccm,0
ccne,0
cco,0
ccoi,0
ccrn,0
ccs,0
ccz,0
cday,0
cdc,0
cde,0
cdl,0
cdlx,0
cdmo,0
cdna,0
cdns,0
cdtx,0
cdxs,0
cdzi,0
ce,0
cee,0
cef,0
cefd,0
cei,0
ceix,0
celc,0
celh,0
cem,0
cent,0
centa,0
cenx,0
cers,0
cet,0
cetx,0
cev,0
ceva,0
cew,0
cf,0
cfa,0
cfb,0
cfbk,0
cffi,0
cfg,0
cfo,0
cfr,0
cg,0
cga,0
cgbd,0
cgc,0
cgen,0
cgnx,0
cgro,0
cgw,0
chci,0
chco,0
chd,0
chdn,0
che,0
chef,0
chek,0
chgg,0
chh,0
chic,0
chie,0
chii,0
chim,0
chir,0
chix,0
chmg,0
chmi,0
chn,0
chrs,0
chrw,0
chs,0
cht,0
chtr,0
chuy,0
chw,0
chwy,0
chx,0
chy,0
ci,0
cia,0
cib,0
cibr,0
cid,0
cien,0
cig-c,0
cig,0
cigi,0
cii,0
cil,0
cim,0
cinf,0
cio,0
civb,0
cix,0
ciz,0
cjjd,0
ckpt,0
ckx,0
cl,0
clb,0
clbk,0
clbs,0
cldt,0
cleu,0
clf,0
clfd,0
clgn,0
clh,0
clir,0
clm,0
clne,0
clou,0
clpr,0
clpt,0
clrb,0
clrg,0
cls,0
clsd,0
clsk,0
clsn,0
clw,0
clwt,0
clx,0
cm,0
cmbm,0
cmbs,0
cmc,0
cmcl,0
cmcm,0
cmco,0
cmcsa,0
cmct,0
cme,0
cmf,0
cmg,0
cmi,0
cmls,0
cmp,0
cmpr,0
cmre,0
cmrx,0
cms,0
cmsd,0
cmt,0
cmtl,0
cmu,0
cna,0
cnbs,0
cncr,0
cndt,0
cnet,0
cnf,0
cnfr,0
cnhi,0
cni,0
cnk,0
cnmd,0
cnnb,0
cnne,0
cno,0
cnob,0
cnp,0
cnq,0
cns,0
cnsl,0
cntg,0
cnty,0
cnx,0
cnya,0
cocp,0
coda,0
codi,0
coe,0
cof,0
cofs,0
cohn,0
cohr,0
cohu,0
coke,0
colb,0
cold,0
coll,0
colm,0
com,0
comb,0
comm,0
comt,0
conn,0
coo,0
coop,0
cop,0
copx,0
cor,0
corr,0
cost,0
coty,0
cowz,0
cp,0
cpa,0
cpac,0
cpb,0
cpe,0
cper,0
cpg,0
cphi,0
cpi,0
cpix,0
cpk,0
cplp,0
cpri,0
cprt,0
cpsh,0
cpsi,0
cpss,0
cpt,0
cpz,0
cqp,0
cqqq,0
cr,0
crai,0
crbn,0
crbp,0
crc,0
crd-a,0
crd.b,0
crdf,0
creg,0
cresy,0
crex,0
crf,0
crh,0
cri,0
cris,0
crk,0
crl,0
crm,0
crmd,0
crmt,0
crnc,0
crnt,0
crnx,0
cron,0
crs,0
crsp,0
crt,0
crto,0
crvl,0
crvs,0
crwd,0
crws,0
csa,0
csb,0
csbr,0
csgp,0
csgs,0
csiq,0
csl,0
csm,0
cspi,0
csse,0
cssep,0
cstl,0
cstr,0
cswi,0
csx,0
ctas,0
ctbi,0
ctg,0
cthr,0
ctlt,0
ctmx,0
cto,0
ctr,0
ctra,0
ctrm,0
ctrn,0
cts,0
ctsh,0
ctso,0
ctv,0
ctva,0
ctxr,0
cuba,0
cube,0
cubi,0
cue,0
cuk,0
culp,0
cure,0
cut,0
cutr,0
cuz,0
cvbf,0
cvco,0
cvcy,0
cve,0
cvgw,0
cvlt,0
cvly,0
cvm,0
cvna,0
cvx,0
cvy,0
cw,0
cwb,0
cwbc,0
cwbr,0
cwco,0
cwen,0
cwh,0
cwi,0
cwk,0
cws,0
cwst,0
cwt,0
cx,0
cxe,0
cxh,0
cxse,0
cxw,0
cyan,0
cycc,0
cyccp,0
cycn,0
cyd,0
cyh,0
cytk,0
cza,0
cznc,0
czr,0
czwi,0
