Stock_name,Desired_page
iac,9999
iae,9999
iaf,9999
iag,9999
iagg,9999
iak,9999
iart,9999
iau,9999
ibb,9999
ibd,9999
ibdo,0
ibdp,9999
ibdq,9999
ibdr,9999
ibds,9999
ibdt,9999
ibdu,9999
ibdv,9999
ibhd,9999
ibhe,9999
ibio,9999
ibkr,9999
ibm,9999
ibml,0
ibmm,9999
ibmn,9999
ibmo,9999
ibmp,9999
ibmq,9999
ibn,9999
iboc,9999
ibp,9999
ibtd,0
ibte,9999
ibtf,9999
ibtg,9999
ibth,9999
ibti,9999
ibtj,9999
ibtx,9999
icad,9999
iccc,9999
icch,9999
icd,9999
ice,9999
icf,9999
inbk,9999
inbkz,9999
inco,9999
incy,9999
inda,9999
indb,9999
indl,9999
indo,9999
inds,9999
indy,9999
infi,9999
infn,9999
infr,9999
infu,9999
infy,9999
ing,9999
ingn,9999
ingr,9999
inkm,9999
inmb,9999
inmd,9999
ino,9999
inod,9999
inpx,9999
insg,9999
insi,9999
insm,9999
insw,9999
intc,9999
intl,9999
